target_name,post_id,comment_id,user_id,username,text,is_reply,reply_to
#circuitbreakersg,B-5pyfYnagn,17903401918453340,20530186,optimisticjerry,before 7am should be fine,False,
#circuitbreakersg,B_Hf6PDnjRI,17849983442022911,8528256690,kateandsabbath,except now cos i dont wanna get fined,False,
#circuitbreakersg,B_Hf6PDnjRI,18112500931114591,833825,a.sp00nful,@kateandsabbath hahahahha u can cook and deliver food delivery wont get fined,True,17849983442022911
#stayhomesg,B_Hf6PDnjRI,17849983442022911,8528256690,kateandsabbath,except now cos i dont wanna get fined,False,
#stayhomesg,B_Hf6PDnjRI,18112500931114591,833825,a.sp00nful,@kateandsabbath hahahahha u can cook and deliver food delivery wont get fined,True,17849983442022911
channelnewsasia,B-6focFJN7t,18050449189234042,350268270,zainall_ip8,this method of ghost cannot be done in reddot cauz our gamen is worrylah there no incomes to collect back they only thing they know is fine them this bring back some income for them u got it,False,
channelnewsasia,B--2fWxJuWw,17848529783043545,2337996303,ethan_9l6,on jan 2020 don t wear mask if you re fine on apr 2020 don t wear mask you ll be fined,False,
mothershipsg,B-4a-SHHGxE,17935041019363996,3319093975,snowbreeeze,breaking the measures attracts a fine so please kiddos stop joking about removing the tapes surrounding the playgrounds it is not a joke at all it s an offence do stay home and don t let your booming affect your grandparents they are the boomers take care,False,
mothershipsg,B-4a-SHHGxE,18064030240204444,30839330,siegdelacroix,@snowbreeeze let them do it then their parents pay the fine and no new smartphone for them,True,17935041019363996
mothershipsg,B-4a-SHHGxE,17956057138316121,3319093975,snowbreeeze,@siegdelacroix idc who pays the fine i worry it becomes a trend that everything is a joke sad kids,True,17935041019363996
mothershipsg,B-4ynPcH2Tb,18095414743150366,4274403762,lovetreesnfruits,there are lots of ppl in the parks and pedestrian walkways cycling running and walking without masks come and go pass you in close proximity without warning your probability of being infected in these public places is pretty high if you see a runner or a cyclist or a pedestrian without wearing mask is about to pass you do save yourself and keep a distance i spotted some irresponsible shoppers in a mall pulled down their masks to eat or talk over their phones while walking,False,
mothershipsg,B-4-Tzcn45j,17860829896820938,17624227067,danielserena333,@manmanbro168 but still no official report to support the allegation maybe true maybe not nobody s know the real numbers this is really become pandemic hopefully everything s going to be fine soon take care urself family s k,True,17852926783965121
mothershipsg,B-6cMZOn0p7,17863795057773127,1278316377,shin_austin,ehh knn walau last warning sia,False,
mothershipsg,B-6cMZOn0p7,17851912672964068,40557934,harrymay,these people stay at tanjong rhu condo so rich fine them la go and fine grab riders 1meter rule fine middle class peeps at geylang market,False,
mothershipsg,B-6cMZOn0p7,18129842644070330,41275429,lavenderellaa,@pinkcorona_9 yeah so the citizens shouldn t blame the govt for initiating fines,True,18023347831262937
mothershipsg,B-7A_NOAVHm,17854099207938233,188506085,aaangkukueh,please fine my sister please,False,
mothershipsg,B-7A_NOAVHm,17871856084642548,6402472713,tbosheng_spartan,should be a 500 fine to further force people to follow rules and for last part no need to show kindness just report them straight away,False,
mothershipsg,B-7A_NOAVHm,17852168200977014,4437814239,158cmm__,me walking downstairs to throw trash 300 fine cool man,False,
mothershipsg,B-7A_NOAVHm,17863375201767706,34752249,jarianotanuo,@gabl333 ya jogging is fine as long as you ain t near anyone not from your household either way anyone stay at home too long also will siao so that s why government still allows solo exercising outside,True,17848754990026847
mothershipsg,B-7A_NOAVHm,17860706785826906,1272091634,gabl333,@jokerpills exercise has to be consistent to be effective i would jog at home but i dont have a treadmill anyways i think jogging should be fine wont even be anywhere near anyone anyways,True,17848754990026847
mothershipsg,B-7A_NOAVHm,17848193525051271,1314609853,lainelahh_,@rosevollo spacious parks should be fine la as long as you exercise alone or with family members but should keep a distance also,True,17848754990026847
