target_name,post_id,comment_id,user_id,username,text,is_reply,reply_to
#circuitbreakersg,B_Bi5ZYnydN,18102468604187255,2057855450,lkshlinda,so many fruits on display i recognise this lady behind the mask she sells fruits at a stall at tekka market near my place i used to buy fruits from her she is married with no children she used to stay at rochor centre before it was demolished by the government you can really go all over to take pictures for your album it is an activity you truly enjoy good to explore while you are still young and energetic @photographyholic,False,
#circuitbreakersg,B_DsG1Wn41L,17855375977909547,1599628278,jmcx88,she not masked up,False,
channelnewsasia,B-8MOWUJxu7,17844996710079696,34593021,absolute_mark,so can we still run in the park with or without mask,False,
channelnewsasia,B-8MOWUJxu7,17919465724394332,14065420465,singaporeuntold,@absolute_mark sure as long as by yourself or with someone in your household don t need a mask but you can wear if you want,True,17844996710079696
channelnewsasia,B--2fWxJuWw,17848529783043545,2337996303,ethan_9l6,on jan 2020 don t wear mask if you re fine on apr 2020 don t wear mask you ll be fined,False,
channelnewsasia,B--2fWxJuWw,17850876337997626,4761983288,sanctimonious_sagacity,cyclists should mask up especially in view of transmission via airstream potential great distances they cover in short periods cycling on level pavements is not strenuous imo i hope the relevant authorities issue clarification on it if it is not easy to enforce ban it,False,
channelnewsasia,B--2fWxJuWw,18137192698001263,8729720930,iuigasg,regardless of where you are be it in office or on tv all must wear a mask when outside their homes except young children below the age of 2 etc unless one is animals i e dogs do not need to put on i hope there s no double standard,False,
channelnewsasia,B--2fWxJuWw,17869805797720052,8203682584,othersalexh,i saw many cyclists without mask today is that legal,False,
channelnewsasia,B--2fWxJuWw,18136257073063813,8729720930,iuigasg,@singaporeuntold expect to see vip remove their mask in office car too they think they re vip none of us can question because they set rules,True,17849666861021125
channelnewsasia,B--2fWxJuWw,17929463698374684,14065420465,singaporeuntold,@iuigasg just random people outside i noticed some not wearing masks even though just walking i would say 95 percent of the runners i saw this morning is not wearing using the exception but i am surprised to see other people not wearing,True,17849666861021125
channelnewsasia,B--2fWxJuWw,18101336449137622,31850090210,frieri.giveaways,mask on everybody,False,
channelnewsasia,B--2fWxJuWw,17861883913794557,8585175043,aliciatan4,before the rules and regulations were implemented our numbers of infection were relatively low after disinfectants hand sanitizers were introduced there were significantly higher infected cases man made toxic chemicals including medicines vaccines disininfectants will impair the immune system and damage the organs leaving the population more vulnerable to covid 19 and diseases please understand toxic chemicals will never protect anyone the masks are sterilised with ethylene oxide another cancer causing agent jessica seah author of food heals but the wrong food kills reversed all her health problems including infections obesity arthritis hormonal imbalance high uric acid constipation extreme joint pain and anaphylactic allergic reaction without any medication or exercise i posted proofs including a grandma and her 3 years old grandson reversed their h1n1 infection without any medication her method is nontoxic cheap simple and very effective isn t it better to activate the immune system to fight and subdue covid 19 without any repercussions or any expensive ventilators i urge all the leaders who wish to end this unpredecented global pandemic swiftly to contact jessica seah at aceofaceent @yahoo com only the already healed can teach the world how to heal the more vaccines are developed the more unimaginable permutations of viral mutations there will be don t create another superbug that is worse than covid 19 through your ignorance,False,
channelnewsasia,B--2fWxJuWw,17936869723360852,22478252554,kelvinchang1628,masks used to be 18 box of 50 now 32 35,False,
channelnewsasia,B--2fWxJuWw,18114698815102005,6073556023,jw707abc,i cannot find any mask in market where can i buy,False,
